ID,NAME,Latitude,Longitude,StationID,Vej_temp,Luft_temp,Dewpoint
1,1,55.99561302717224,12.48656104828325,Vejtemp_1,11°,8°,8°
2,2,55.95821800107858,11.921130044101616,Vejtemp_2,12°,7°,7°
3,3,55.87288000496951,12.191519929346516,Vejtemp_3,12°,8°,8°
4,4,55.84320003294816,12.03981592646499,Vejtemp_4,12°,7°,7°
5,5,55.80534007830431,12.380185957459675,Vejtemp_5,13°,8°,8°
6,6,55.80292005042507,12.533508032699384,Vejtemp_6,13°,9°,9°
7,7,55.75418005207008,12.29111092733249,Vejtemp_7,15°,8°,8°
8,8,55.73354300522918,12.127053920098245,Vejtemp_8,13°,8°,8°
9,9,55.73809007514659,11.950188947365167,Vejtemp_9,12°,8°,8°
10,10,55.69499005474504,12.534574039495734,Vejtemp_10,14°,9°,9°
11,11,55.648342045750326,11.927538987208841,Vejtemp_11,12°,9°,9°
12,12,55.651096057627306,12.151222034743046,Vejtemp_12,11°,9°,9°
13,13,55.6554700355814,12.207268983786877,Vejtemp_13,15°,8°,8°
14,14,55.64341399622667,12.426630985805891,Vejtemp_14,15°,9°,9°
15,15,55.62980704163937,12.544102921929039,Vejtemp_15,14°,8°,8°
16,16,55.61411304477866,12.510605050965538,Vejtemp_16,12°,8°,8°
17,17,55.59961004701753,12.100910995173548,Vejtemp_17,13°,8°,8°
18,18,55.57253602347619,11.980721048092942,Vejtemp_18,13°,8°,8°
19,19,55.539345036560924,11.927479994102232,Vejtemp_19,13°,9°,9°
20,20,55.82493607741165,12.379249035622147,Vejtemp_20,11°,8°,8°
21,21,55.66304005411995,12.237548006864056,Vejtemp_21,13°,9°,9°
22,22,55.67630404729844,12.42482907277561,Vejtemp_22,12°,11°,11°
23,23,55.45721404235773,11.968831983688235,Vejtemp_23,13°,9°,9°
24,24,55.47812006355892,12.096418968596495,Vejtemp_24,13°,9°,9°
25,25,55.73854002874154,12.45544893564879,Vejtemp_25,13°,9°,9°
26,26,55.640697010099785,12.351294031581006,Vejtemp_26,13°,9°,9°
27,27,55.61299003762023,12.324471031078883,Vejtemp_27,13°,9°,9°
28,28,55.961340032812025,12.484130072810355,Vejtemp_28,12°,9°,9°
29,29,55.69813501747992,12.384458958318834,Vejtemp_29,12°,9°,9°
30,30,55.93545999720146,12.07780905847746,Vejtemp_30,12°,9°,9°
31,31,55.6757200529854,12.324920051584003,Vejtemp_31,13°,9°,9°
