ID,NAME,Latitude,Longitude,StationID,Vej_temp,Luft_temp,Dewpoint
1,1,55.99561302717224,12.48656104828325,Vejtemp_1,9,10,10
2,2,55.95821800107858,11.921130044101616,Vejtemp_2,9,10,10
3,3,55.90861003703686,12.26754101814831,Vejtemp_3,9,11,11
4,4,55.87288000496951,12.191519929346516,Vejtemp_4,9,10,10
5,5,55.84320003294816,12.03981592646499,Vejtemp_5,9,10,10
6,6,55.80534007830431,12.380185957459675,Vejtemp_6,10,10,10
7,7,55.75418005207008,12.29111092733249,Vejtemp_7,10,10,10
8,8,55.73354300522918,12.127053920098245,Vejtemp_8,10,10,10
9,9,55.73809007514659,11.950188947365167,Vejtemp_9,9,11,11
10,10,55.69499005474504,12.534574039495734,Vejtemp_10,10,10,10
11,11,55.648342045750326,11.927538987208841,Vejtemp_11,9,11,11
12,12,55.651096057627306,12.151222034743046,Vejtemp_12,10,10,10
13,13,55.6554700355814,12.207268983786877,Vejtemp_13,9,10,10
14,14,55.64341399622667,12.426630985805891,Vejtemp_14,9,9,9
15,15,55.62980704163937,12.544102921929039,Vejtemp_15,9,9,9
16,16,55.61411304477866,12.510605050965538,Vejtemp_16,9,8,8
17,17,55.59961004701753,12.100910995173548,Vejtemp_17,9,11,11
18,18,55.57253602347619,11.980721048092942,Vejtemp_18,9,11,11
19,19,55.539345036560924,11.927479994102232,Vejtemp_19,9,10,10
20,20,55.82493607741165,12.379249035622147,Vejtemp_20,9,10,10
21,21,55.66304005411995,12.237548006864056,Vejtemp_21,10,11,11
22,22,55.67630404729844,12.42482907277561,Vejtemp_22,9,11,11
23,23,55.45721404235773,11.968831983688235,Vejtemp_23,10,10,10
24,24,55.47812006355892,12.096418968596495,Vejtemp_24,10,10,10
25,25,55.73854002874154,12.45544893564879,Vejtemp_25,10,10,10
26,26,55.640697010099785,12.351294031581006,Vejtemp_26,10,10,10
27,27,55.61299003762023,12.324471031078883,Vejtemp_27,13,10,10
28,28,55.961340032812025,12.484130072810355,Vejtemp_28,10,10,10
29,29,55.69813501747992,12.384458958318834,Vejtemp_29,9,10,10
